Empresa Aérea;Aeroporto de Origem Designador OACI;Nome/UF/País Origem;Aeroporto de Destino Designador OACI;Nome/UF/País Destino;Etapas Previstas;% de Cancelamentos;% de Atrasos Superiores a 30 min;% de Atrasos Superiores a 60 min
TAM - TAM LINHAS AÉREAS S.A.;SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBAR;SANTA MARIA(SE, BRASIL);17;    ,00;    ,00;    ,00
TAM - TAM LINHAS AÉREAS S.A.;SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SAEZ;MINISTRO PISTARINI INTERNATIONAL AIRPORT (EZEIZA INTERNATIONAL AIRPORT)(, ARGENTINA);4;    ,00;    ,00;    ,00
TAM - TAM LINHAS AÉREAS S.A.;SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);MMMX;BENITO JUAREZ INTL(, MÉXICO);13;    ,00;    ,00;    ,00
TAM - TAM LINHAS AÉREAS S.A.;SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);LPPT;LISBOA(, PORTUGAL);4;    ,00;    ,00;    ,00
TAM - TAM LINHAS AÉREAS S.A.;SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);LEMD;ADOLFO SUÁREZ MADRID-BARAJAS AIRPORT(, ESPANHA);2;    ,00;    ,00;    ,00
TAM - TAM LINHAS AÉREAS S.A.;SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);KMIA;MIAMI INTERNATIONAL AIRPORT(, ESTADOS UNIDOS DA AMÉRICA);13;    ,00;    ,00;    ,00
TAM - TAM LINHAS AÉREAS S.A.;SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);KJFK;JOHN F. KENNEDY INTERNATIONAL AIRPORT(, ESTADOS UNIDOS DA AMÉRICA);13;    ,00;   7,69;    ,00
TAM - TAM LINHAS AÉREAS S.A.;SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);EDDF;FRANKFURT INTERNATIONAL AIRPORT(, ALEMANHA);18;    ,00;    ,00;    ,00
TAM - TAM LINHAS AÉREAS S.A.;SBGO;SANTA GENOVEVA/GOIÂNIA(GO, BRASIL);SBSP;CONGONHAS(SP, BRASIL);8;    ,00;    ,00;    ,00
TAM - TAM LINHAS AÉREAS S.A.;SBGO;SANTA GENOVEVA/GOIÂNIA(GO, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);44;    ,00;    ,00;    ,00
TAM - TAM LINHAS AÉREAS S.A.;SBGO;SANTA GENOVEVA/GOIÂNIA(GO, BRASIL);SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);15;    ,00;   6,67;    ,00
TAM - TAM LINHAS AÉREAS S.A.;SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);44;    ,00;    ,00;    ,00
TAM - TAM LINHAS AÉREAS S.A.;SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL);SBFZ;PINTO MARTINS(CE, BRASIL);2;    ,00;    ,00;    ,00
TAM - TAM LINHAS AÉREAS S.A.;SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL);SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);4;    ,00;    ,00;    ,00
TAM - TAM LINHAS AÉREAS S.A.;SBFZ;PINTO MARTINS(CE, BRASIL);SBSP;CONGONHAS(SP, BRASIL);3;    ,00;    ,00;    ,00
TAM - TAM LINHAS AÉREAS S.A.;SBFZ;PINTO MARTINS(CE, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);81;    ,00;   1,23;    ,00
TAM - TAM LINHAS AÉREAS S.A.;SBFZ;PINTO MARTINS(CE, BRASIL);SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL);3;    ,00;    ,00;    ,00
TAM - TAM LINHAS AÉREAS S.A.;SBFZ;PINTO MARTINS(CE, BRASIL);SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);38;    ,00;    ,00;    ,00
TAM - TAM LINHAS AÉREAS S.A.;SBFL;HERCÍLIO LUZ(SC, BRASIL);SBSP;CONGONHAS(SP, BRASIL);6;    ,00;    ,00;    ,00
TAM - TAM LINHAS AÉREAS S.A.;SBFL;HERCÍLIO LUZ(SC, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);86;    ,00;    ,00;    ,00
TAM - TAM LINHAS AÉREAS S.A.;SBFL;HERCÍLIO LUZ(SC, BRASIL);SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);20;    ,00;   5,00;   5,00
TAM - TAM LINHAS AÉREAS S.A.;SBFI;CATARATAS(PR, BRASIL);SBSP;CONGONHAS(SP, BRASIL);1;    ,00;    ,00;    ,00
TAM - TAM LINHAS AÉREAS S.A.;SBFI;CATARATAS(PR, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);72;    ,00;    ,00;    ,00
TAM - TAM LINHAS AÉREAS S.A.;SBEG;EDUARDO GOMES(AM, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);33;    ,00;    ,00;    ,00
TAM - TAM LINHAS AÉREAS S.A.;SBEG;EDUARDO GOMES(AM, BRASIL);SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);19;    ,00;    ,00;    ,00
TAM - TAM LINHAS AÉREAS S.A.;SBCY;MARECHAL RONDON(MT, BRASIL);SBSP;CONGONHAS(SP, BRASIL);6;    ,00;    ,00;    ,00
TAM - TAM LINHAS AÉREAS S.A.;SBCY;MARECHAL RONDON(MT, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);48;    ,00;    ,00;    ,00
TAM - TAM LINHAS AÉREAS S.A.;SBCY;MARECHAL RONDON(MT, BRASIL);SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);27;    ,00;    ,00;    ,00
TAM - TAM LINHAS AÉREAS S.A.;SBCT;AFONSO PENA(PR, BRASIL);SBSP;CONGONHAS(SP, BRASIL);31;    ,00;    ,00;    ,00
TAM - TAM LINHAS AÉREAS S.A.;SBCT;AFONSO PENA(PR, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);56;    ,00;    ,00;    ,00
TAM - TAM LINHAS AÉREAS S.A.;SBCT;AFONSO PENA(PR, BRASIL);SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);18;    ,00;    ,00;    ,00
TAM - TAM LINHAS AÉREAS S.A.;SBCH;SERAFIN ENOSS BERTASO(SC, BRASIL);SBSP;CONGONHAS(SP, BRASIL);13;    ,00;    ,00;    ,00
TAM - TAM LINHAS AÉREAS S.A.;SBCG;CAMPO GRANDE(MS, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);46;    ,00;   2,17;    ,00
TAM - TAM LINHAS AÉREAS S.A.;SBCG;CAMPO GRANDE(MS, BRASIL);SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);21;    ,00;    ,00;    ,00
TAM - TAM LINHAS AÉREAS S.A.;SBCF;TANCREDO NEVES(MG, BRASIL);SBSP;CONGONHAS(SP, BRASIL);29;    ,00;   3,45;    ,00
TAM - TAM LINHAS AÉREAS S.A.;SBCF;TANCREDO NEVES(MG, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);67;    ,00;    ,00;    ,00
TAM - TAM LINHAS AÉREAS S.A.;SBCF;TANCREDO NEVES(MG, BRASIL);SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);30;    ,00;    ,00;    ,00
TAM - TAM LINHAS AÉREAS S.A.;SBBV;ATLAS BRASIL CANTANHEDE(RR, BRASIL);SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);14;    ,00;    ,00;    ,00
TAM - TAM LINHAS AÉREAS S.A.;SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBVT;EURICO DE AGUIAR SALLES(ES, BRASIL);14;    ,00;    ,00;    ,00
TAM - TAM LINHAS AÉREAS S.A.;SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBTE;SENADOR PETRÔNIO PORTELLA(PI, BRASIL);14;    ,00;   7,14;   7,14
TAM - TAM LINHAS AÉREAS S.A.;SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBSV;DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL);38;    ,00;    ,00;    ,00
TAM - TAM LINHAS AÉREAS S.A.;SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBSP;CONGONHAS(SP, BRASIL);80;    ,00;    ,00;    ,00
TAM - TAM LINHAS AÉREAS S.A.;SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBSN;MAESTRO WILSON FONSECA(PA, BRASIL);13;    ,00;   7,69;   7,69
TAM - TAM LINHAS AÉREAS S.A.;SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBSL;MARECHAL CUNHA MACHADO(MA, BRASIL);18;    ,00;    ,00;    ,00
TAM - TAM LINHAS AÉREAS S.A.;SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBSG;GOVERNADOR ALUIZIO ALVES(RN, BRASIL);27;    ,00;    ,00;    ,00
TAM - TAM LINHAS AÉREAS S.A.;SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBRJ;SANTOS DUMONT(RJ, BRASIL);88;   1,14;    ,00;    ,00
TAM - TAM LINHAS AÉREAS S.A.;SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);30;   3,33;    ,00;    ,00
TAM - TAM LINHAS AÉREAS S.A.;SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBPA;SALGADO FILHO(RS, BRASIL);26;    ,00;   3,85;   3,85
TAM - TAM LINHAS AÉREAS S.A.;SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBMQ;ALBERTO ALCOLUMBRE(AP, BRASIL);13;    ,00;    ,00;    ,00
TAM - TAM LINHAS AÉREAS S.A.;SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBMO;ZUMBI DOS PALMARES(AL, BRASIL);26;    ,00;    ,00;    ,00
TAM - TAM LINHAS AÉREAS S.A.;SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBMA;JOÃO CORREA DA ROCHA(PA, BRASIL);13;    ,00;    ,00;    ,00
TAM - TAM LINHAS AÉREAS S.A.;SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBJP;PRESIDENTE CASTRO PINTO(PB, BRASIL);23;    ,00;    ,00;    ,00
TAM - TAM LINHAS AÉREAS S.A.;SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);90;    ,00;   1,11;   1,11
TAM - TAM LINHAS AÉREAS S.A.;SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBGO;SANTA GENOVEVA/GOIÂNIA(GO, BRASIL);16;    ,00;    ,00;    ,00
TAM - TAM LINHAS AÉREAS S.A.;SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL);4;    ,00;    ,00;    ,00
TAM - TAM LINHAS AÉREAS S.A.;SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBFZ;PINTO MARTINS(CE, BRASIL);38;    ,00;    ,00;    ,00
TAM - TAM LINHAS AÉREAS S.A.;SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBFL;HERCÍLIO LUZ(SC, BRASIL);20;    ,00;    ,00;    ,00
TAM - TAM LINHAS AÉREAS S.A.;SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBEG;EDUARDO GOMES(AM, BRASIL);19;    ,00;    ,00;    ,00
TAM - TAM LINHAS AÉREAS S.A.;SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBCY;MARECHAL RONDON(MT, BRASIL);26;    ,00;    ,00;    ,00
TAM - TAM LINHAS AÉREAS S.A.;SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBCT;AFONSO PENA(PR, BRASIL);19;    ,00;    ,00;    ,00
TAM - TAM LINHAS AÉREAS S.A.;SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBCG;CAMPO GRANDE(MS, BRASIL);22;    ,00;    ,00;    ,00
TAM - TAM LINHAS AÉREAS S.A.;SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBCF;TANCREDO NEVES(MG, BRASIL);30;    ,00;    ,00;    ,00
TAM - TAM LINHAS AÉREAS S.A.;SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBBV;ATLAS BRASIL CANTANHEDE(RR, BRASIL);14;    ,00;   7,14;   7,14
TAM - TAM LINHAS AÉREAS S.A.;SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBBE;INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL);14;    ,00;    ,00;    ,00
TAM - TAM LINHAS AÉREAS S.A.;SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBAR;SANTA MARIA(SE, BRASIL);17;    ,00;    ,00;    ,00
TAM - TAM LINHAS AÉREAS S.A.;SBBE;INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);18;    ,00;  11,11;   5,56
TAM - TAM LINHAS AÉREAS S.A.;SBBE;INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL);SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);14;    ,00;    ,00;    ,00
TAM - TAM LINHAS AÉREAS S.A.;SBAR;SANTA MARIA(SE, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);17;    ,00;   5,88;    ,00
TAM - TAM LINHAS AÉREAS S.A.;SBAR;SANTA MARIA(SE, BRASIL);SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);17;    ,00;    ,00;    ,00
TAM - TAM LINHAS AÉREAS S.A.;SAEZ;MINISTRO PISTARINI INTERNATIONAL AIRPORT (EZEIZA INTERNATIONAL AIRPORT)(, ARGENTINA);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);4;    ,00;    ,00;    ,00
TAM - TAM LINHAS AÉREAS S.A.;MMMX;BENITO JUAREZ INTL(, MÉXICO);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);13;    ,00;   7,69;    ,00
TAM - TAM LINHAS AÉREAS S.A.;LPPT;LISBOA(, PORTUGAL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);3;    ,00;  66,67;    ,00
TAM - TAM LINHAS AÉREAS S.A.;LEMD;ADOLFO SUÁREZ MADRID-BARAJAS AIRPORT(, ESPANHA);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);2;    ,00;    ,00;    ,00
TAM - TAM LINHAS AÉREAS S.A.;KMIA;MIAMI INTERNATIONAL AIRPORT(, ESTADOS UNIDOS DA AMÉRICA);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);12;    ,00;    ,00;    ,00
TAM - TAM LINHAS AÉREAS S.A.;KJFK;JOHN F. KENNEDY INTERNATIONAL AIRPORT(, ESTADOS UNIDOS DA AMÉRICA);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);12;    ,00;    ,00;    ,00
TAM - TAM LINHAS AÉREAS S.A.;EDDF;FRANKFURT INTERNATIONAL AIRPORT(, ALEMANHA);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);17;    ,00;    ,00;    ,00
EDW - EDELWEISS AIR AG;SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL);LSZH;ZÜRICH AIRPORT (KLOTEN AIRPORT)(, SUÍÇA);9; 100,00;;
EDW - EDELWEISS AIR AG;LSZH;ZÜRICH AIRPORT (KLOTEN AIRPORT)(, SUÍÇA);SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL);9; 100,00;;
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;SWLC;GENERAL LEITE DE CASTRO(GO, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);10;    ,00;    ,00;    ,00
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;SNTF;TEIXEIRA DE FREITAS(BA, BRASIL);SBCF;TANCREDO NEVES(MG, BRASIL);15;    ,00;    ,00;    ,00
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;SNBR;BARREIRAS(BA, BRASIL);SBCF;TANCREDO NEVES(MG, BRASIL);16;   6,25;    ,00;    ,00
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;SBZM;REGIONAL DA ZONA DA MATA(MG, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);20;    ,00;   5,00;   5,00
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;SBVT;EURICO DE AGUIAR SALLES(ES, BRASIL);SBRJ;SANTOS DUMONT(RJ, BRASIL);2;    ,00;    ,00;    ,00
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;SBVT;EURICO DE AGUIAR SALLES(ES, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);91;    ,00;   1,10;   1,10
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;SBVT;EURICO DE AGUIAR SALLES(ES, BRASIL);SBCF;TANCREDO NEVES(MG, BRASIL);96;    ,00;   2,08;   1,04
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;SBVC;GLAUBER DE ANDRADE ROCHA(BA, BRASIL);SBCF;TANCREDO NEVES(MG, BRASIL);30;    ,00;   3,33;   3,33
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;SBUR;MÁRIO DE ALMEIDA FRANCO(MG, BRASIL);SBCF;TANCREDO NEVES(MG, BRASIL);23;    ,00;   4,35;    ,00
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;SBUL;TEN CEL AVIADOR CÉSAR BOMBONATO(MG, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);88;    ,00;   3,41;   2,27
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;SBUL;TEN CEL AVIADOR CÉSAR BOMBONATO(MG, BRASIL);SBCF;TANCREDO NEVES(MG, BRASIL);61;   1,64;   5,00;   1,67
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;SBUG;RUBEM BERTA(RS, BRASIL);SBPA;SALGADO FILHO(RS, BRASIL);1;    ,00;    ,00;    ,00
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;SBUG;RUBEM BERTA(RS, BRASIL);SBNM;SANTO ÂNGELO(RS, BRASIL);20;    ,00;   5,00;   5,00
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;SBTT;TABATINGA(AM, BRASIL);SBEG;EDUARDO GOMES(AM, BRASIL);28;   7,14;   3,85;    ,00
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;SBTG;TRÊS LAGOAS(MS, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);13;    ,00;    ,00;    ,00
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;SBTF;TEFÉ(AM, BRASIL);SBTT;TABATINGA(AM, BRASIL);7;    ,00;    ,00;    ,00
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;SBTF;TEFÉ(AM, BRASIL);SBEG;EDUARDO GOMES(AM, BRASIL);10;    ,00;  10,00;    ,00
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;SBTE;SENADOR PETRÔNIO PORTELLA(PI, BRASIL);SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);29;    ,00;    ,00;    ,00
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;SBTE;SENADOR PETRÔNIO PORTELLA(PI, BRASIL);SBPB;AEROPORTO INTERNACIONAL DE PARNAÍBA / PREFEITO DOUTOR JOÃO SILVA FILHO(PI, BRASIL);4;    ,00;    ,00;    ,00
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;SBTE;SENADOR PETRÔNIO PORTELLA(PI, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);49;    ,00;   2,04;    ,00
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;SBSV;DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL);SBSP;CONGONHAS(SP, BRASIL);31;    ,00;    ,00;    ,00
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;SBSV;DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL);SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);79;   3,80;   2,63;   1,32
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;SBSV;DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL);SBPS;PORTO SEGURO(BA, BRASIL);23;    ,00;   8,70;   8,70
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;SBSV;DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);111;    ,90;   4,55;   3,64
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;SBSV;DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL);SBCF;TANCREDO NEVES(MG, BRASIL);89;    ,00;   3,37;   1,12
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;SBSR;PROFESSOR ERIBERTO MANOEL REINO(SP, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);85;    ,00;   1,18;    ,00
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;SBSP;CONGONHAS(SP, BRASIL);SBSV;DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL);31;    ,00;    ,00;    ,00
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;SBSP;CONGONHAS(SP, BRASIL);SBRJ;SANTOS DUMONT(RJ, BRASIL);138;    ,00;    ,72;    ,72
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;SBSP;CONGONHAS(SP, BRASIL);SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);89;    ,00;   1,12;    ,00
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;SBSP;CONGONHAS(SP, BRASIL);SBCF;TANCREDO NEVES(MG, BRASIL);110;    ,00;    ,00;    ,00
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;SBSN;MAESTRO WILSON FONSECA(PA, BRASIL);SBBE;INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL);31;   3,23;   3,33;   3,33
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;SBSM;SANTA MARIA(RS, BRASIL);SBPA;SALGADO FILHO(RS, BRASIL);23;    ,00;    ,00;    ,00
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;SBSL;MARECHAL CUNHA MACHADO(MA, BRASIL);SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);25;    ,00;    ,00;    ,00
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;SBSL;MARECHAL CUNHA MACHADO(MA, BRASIL);SBIZ;PREFEITO RENATO MOREIRA(MA, BRASIL);12;    ,00;    ,00;    ,00
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;SBSL;MARECHAL CUNHA MACHADO(MA, BRASIL);SBCF;TANCREDO NEVES(MG, BRASIL);42;    ,00;   4,76;   2,38
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;SBSI;PRESIDENTE JOÃO BATISTA FIGUEIREDO(MT, BRASIL);SBCY;MARECHAL RONDON(MT, BRASIL);22;   4,55;    ,00;    ,00
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;SBSG;GOVERNADOR ALUIZIO ALVES(RN, BRASIL);SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);123;    ,00;   2,44;    ,81
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;SBSG;GOVERNADOR ALUIZIO ALVES(RN, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);13;    ,00;    ,00;    ,00
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;SBSG;GOVERNADOR ALUIZIO ALVES(RN, BRASIL);SBCF;TANCREDO NEVES(MG, BRASIL);3;    ,00;    ,00;    ,00
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;SBRP;LEITE LOPES(SP, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);82;   1,22;    ,00;    ,00
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;SBRJ;SANTOS DUMONT(RJ, BRASIL);SBVT;EURICO DE AGUIAR SALLES(ES, BRASIL);2;    ,00;    ,00;    ,00
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;SBRJ;SANTOS DUMONT(RJ, BRASIL);SBSP;CONGONHAS(SP, BRASIL);138;    ,00;   2,17;    ,00
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;SBRJ;SANTOS DUMONT(RJ, BRASIL);SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);90;    ,00;   1,11;   1,11
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;SBRJ;SANTOS DUMONT(RJ, BRASIL);SBPS;PORTO SEGURO(BA, BRASIL);4;    ,00;    ,00;    ,00
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;SBRJ;SANTOS DUMONT(RJ, BRASIL);SBPA;SALGADO FILHO(RS, BRASIL);27;    ,00;   7,41;   3,70
