ANO;MES;EMPRESA;VOO;OACI_ORIGEM;OACI_DESTINO;VOOS;CANCELADOS;NA_HORA;ATRASADOS_ACIMA_30;ATRASADOS_ACIMA_60
2021;1;AFR;416;LFPG;SBFZ;3;0;2;1;0
2021;1;AFR;442;LFPG;SBGL;18;0;18;0;0
2021;1;AFR;443;SBGL;LFPG;17;0;17;0;0
2021;1;AFR;454;LFPG;SBGR;31;0;26;5;0
2021;1;AFR;456;LFPG;SBGR;1;0;1;0;0
2021;1;AFR;457;SBGR;LFPG;31;0;31;0;0
2021;1;AFR;459;SBGR;LFPG;1;1;0;0;0
2021;1;AFR;2065;SBRJ;SBGR;30;0;30;0;0
2021;1;AMX;14;MMMX;SBGR;31;0;27;2;2
2021;1;AMX;15;SBGR;MMMX;31;0;31;0;0
2021;1;AMX;16;MMMX;SBGR;13;1;10;1;1
2021;1;AMX;17;SBGR;MMMX;12;0;7;1;4
2021;1;AMX;8157;SBRJ;SBGR;29;0;27;2;0
2021;1;ANA;5895;SBGR;EDDF;30;0;29;1;0
2021;1;ANA;5896;EDDF;SBGR;31;0;25;5;1
2021;1;ANA;7210;KIAH;SBGL;14;0;11;2;1
2021;1;ANA;7211;SBGL;KIAH;13;1;12;0;0
2021;1;ANA;7212;KIAH;SBGR;31;0;28;1;2
2021;1;ANA;7213;SBGR;KIAH;31;0;28;1;2
2021;1;ANA;7214;KEWR;SBGR;30;0;23;4;3
2021;1;ARG;1220;SAEZ;SBSV;5;5;0;0;0
2021;1;ARG;1221;SBSV;SAEZ;5;0;0;2;3
2021;1;ARG;1240;SAEZ;SBGR;26;0;25;0;1
2021;1;ARG;1241;SBGR;SAEZ;26;0;24;1;1
2021;1;ARG;1244;SAEZ;SBGR;9;0;9;0;0
2021;1;ARG;1245;SBGR;SAEZ;9;0;9;0;0
2021;1;ARG;1260;SAEZ;SBGL;22;1;16;2;3
2021;1;ARG;1261;SBGL;SAEZ;22;1;17;0;4
2021;1;ARG;1264;SAEZ;SBGL;13;0;11;1;1
2021;1;ARG;1265;SBGL;SAEZ;13;0;11;2;0
2021;1;ARG;1330;SAEZ;SBFL;9;0;7;0;2
2021;1;ARG;1331;SBFL;SAEZ;10;1;8;0;1
2021;1;ARG;1332;SAEZ;SBFL;1;0;1;0;0
2021;1;ARG;1333;SBFL;SAEZ;1;0;1;0;0
2021;1;ARG;1953;SBGR;SAEZ;1;0;0;1;0
2021;1;AVA;85;SKBO;SBGR;14;2;12;0;0
2021;1;AVA;86;SBGR;SKBO;14;2;12;0;0
2021;1;AVA;248;SBGR;SKBO;17;1;14;0;2
2021;1;AVA;249;SKBO;SBGR;18;2;14;1;1
2021;1;AVA;260;SBGL;SKBO;14;2;11;0;1
2021;1;AVA;261;SKBO;SBGL;13;2;10;0;1
2021;1;AZA;674;LIRF;SBGR;2;0;2;0;0
2021;1;AZA;675;SBGR;LIRF;2;0;0;0;2
2021;1;AZN;430;SLVR;SBGR;31;31;0;0;0
2021;1;AZN;431;SBGR;SLVR;31;31;0;0;0
2021;1;AZP;830;SGAS;SBGL;3;1;2;0;0
2021;1;AZP;831;SBGL;SGAS;3;1;2;0;0
2021;1;AZP;896;SGAS;SBFL;3;0;3;0;0
2021;1;AZP;897;SBFL;SGAS;3;0;3;0;0
2021;1;AZU;2400;SBKP;SBSG;5;0;5;0;0
2021;1;AZU;2401;SBSG;SBKP;5;0;4;0;1
2021;1;AZU;2402;SBKP;SBJP;5;0;5;0;0
