Empresa Aérea;N Voo;Aeroporto de Origem Designador OACI;Nome/UF/Pai�s Origem;Aeroporto de Destino Designador OACI;Nome/UF/Pai�s Destino;Etapas Previstas;% de Cancelamentos;% de Atrasos Superiores a 30 min;% de Atrasos Superiores a 60 min
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4352;SBSL;MARECHAL CUNHA MACHADO(MA, BRASIL);SBIZ;PREFEITO RENATO MOREIRA(MA, BRASIL);12;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4352;SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SBSL;MARECHAL CUNHA MACHADO(MA, BRASIL);25;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4353;SBRJ;SANTOS DUMONT(RJ, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);26;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4355;SBRJ;SANTOS DUMONT(RJ, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);28;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4356;SBKP;VIRACOPOS(SP, BRASIL);SBRJ;SANTOS DUMONT(RJ, BRASIL);30;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4357;SBRJ;SANTOS DUMONT(RJ, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);30;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4359;SBCG;CAMPO GRANDE(MS, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);1;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4360;SBSL;MARECHAL CUNHA MACHADO(MA, BRASIL);SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);25;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4360;SBIZ;PREFEITO RENATO MOREIRA(MA, BRASIL);SBSL;MARECHAL CUNHA MACHADO(MA, BRASIL);13;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4361;SBCG;CAMPO GRANDE(MS, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);24;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4362;SBKP;VIRACOPOS(SP, BRASIL);SBNF;MINISTRO VICTOR KONDER(SC, BRASIL);30;0;3,33;3,33
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4363;SBNF;MINISTRO VICTOR KONDER(SC, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);30;0;3,33;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4365;SBNF;MINISTRO VICTOR KONDER(SC, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);29;0;0;0
