Empresa Aérea;N Voo;Aeroporto de Origem Designador OACI;Nome/UF/Pai�s Origem;Aeroporto de Destino Designador OACI;Nome/UF/Pai�s Destino;Etapas Previstas;% de Cancelamentos;% de Atrasos Superiores a 30 min;% de Atrasos Superiores a 60 min
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4235;SBMQ;ALBERTO ALCOLUMBRE(AP, BRASIL);SBBE;INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL);27;7,41;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4236;SBCF;TANCREDO NEVES(MG, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);2;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4237;SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBCF;TANCREDO NEVES(MG, BRASIL);2;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4238;SBCY;MARECHAL RONDON(MT, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);1;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4239;SBKP;VIRACOPOS(SP, BRASIL);SBCY;MARECHAL RONDON(MT, BRASIL);2;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4240;SBCF;TANCREDO NEVES(MG, BRASIL);SBCJ;CARAJÁS(PA, BRASIL);17;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4240;SBCJ;CARAJÁS(PA, BRASIL);SBBE;INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL);9;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4241;SBCJ;CARAJÁS(PA, BRASIL);SBCF;TANCREDO NEVES(MG, BRASIL);17;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4241;SBBE;INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL);SBCJ;CARAJÁS(PA, BRASIL);9;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4242;SBCF;TANCREDO NEVES(MG, BRASIL);SBVT;EURICO DE AGUIAR SALLES(ES, BRASIL);25;0;4;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4243;SBVT;EURICO DE AGUIAR SALLES(ES, BRASIL);SBCF;TANCREDO NEVES(MG, BRASIL);26;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4244;SBCF;TANCREDO NEVES(MG, BRASIL);SBUL;TEN CEL AVIADOR CÉSAR BOMBONATO(MG, BRASIL);29;0;3,45;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4248;SBCF;TANCREDO NEVES(MG, BRASIL);SNBR;BARREIRAS(BA, BRASIL);16;6,25;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4249;SNBR;BARREIRAS(BA, BRASIL);SBCF;TANCREDO NEVES(MG, BRASIL);16;6,25;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4250;SBSP;CONGONHAS(SP, BRASIL);SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);30;0;3,33;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4251;SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SBSP;CONGONHAS(SP, BRASIL);27;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4252;SBRJ;SANTOS DUMONT(RJ, BRASIL);SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);29;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4253;SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SBRJ;SANTOS DUMONT(RJ, BRASIL);28;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4254;SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SBFZ;PINTO MARTINS(CE, BRASIL);25;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4255;SBFZ;PINTO MARTINS(CE, BRASIL);SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);25;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4256;SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SBSV;DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL);25;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4257;SBSV;DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL);SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);25;8;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4258;SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SBSG;GOVERNADOR ALUIZIO ALVES(RN, BRASIL);25;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4259;SBSG;GOVERNADOR ALUIZIO ALVES(RN, BRASIL);SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);25;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4260;SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SBJP;PRESIDENTE CASTRO PINTO(PB, BRASIL);24;0;8,33;8,33
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4261;SBJP;PRESIDENTE CASTRO PINTO(PB, BRASIL);SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);23;4,35;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4263;SBKG;PRESIDENTE JOÃO SUASSUNA(PB, BRASIL);SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);1;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4265;SBUL;TEN CEL AVIADOR CÉSAR BOMBONATO(MG, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);3;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4266;SBKP;VIRACOPOS(SP, BRASIL);SBUL;TEN CEL AVIADOR CÉSAR BOMBONATO(MG, BRASIL);23;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4267;SBUL;TEN CEL AVIADOR CÉSAR BOMBONATO(MG, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);29;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4277;SBMG;SÍLVIO NAME JÚNIOR(PR, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);1;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4281;SBVT;EURICO DE AGUIAR SALLES(ES, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);9;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4282;SBKP;VIRACOPOS(SP, BRASIL);SBCG;CAMPO GRANDE(MS, BRASIL);25;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4283;SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SBCF;TANCREDO NEVES(MG, BRASIL);23;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4284;SBCF;TANCREDO NEVES(MG, BRASIL);SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);22;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4285;SBCG;CAMPO GRANDE(MS, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);23;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4287;SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SBCF;TANCREDO NEVES(MG, BRASIL);29;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4289;SBJV;LAURO CARNEIRO DE LOYOLA(SC, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);26;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4290;SBKP;VIRACOPOS(SP, BRASIL);SBZM;REGIONAL DA ZONA DA MATA(MG, BRASIL);2;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4292;SBKP;VIRACOPOS(SP, BRASIL);SWLC;GENERAL LEITE DE CASTRO(GO, BRASIL);10;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4293;SWLC;GENERAL LEITE DE CASTRO(GO, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);10;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4294;SBKP;VIRACOPOS(SP, BRASIL);SBDN;PRESIDENTE PRUDENTE(SP, BRASIL);25;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4295;SBDN;PRESIDENTE PRUDENTE(SP, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);24;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4296;SBRJ;SANTOS DUMONT(RJ, BRASIL);SBSP;CONGONHAS(SP, BRASIL);1;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4298;SBKP;VIRACOPOS(SP, BRASIL);SBML;FRANK MILOYE MILENKOVICH(SP, BRASIL);28;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4303;SBPA;SALGADO FILHO(RS, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);30;0;3,33;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4304;SBKP;VIRACOPOS(SP, BRASIL);SBPA;SALGADO FILHO(RS, BRASIL);25;0;8;4
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4306;SBKP;VIRACOPOS(SP, BRASIL);SBTG;TRÊS LAGOAS(MS, BRASIL);13;0;7,69;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4308;SBTG;TRÊS LAGOAS(MS, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);13;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4309;SBCT;AFONSO PENA(PR, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);30;3,33;10,34;6,9
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4311;SBCT;AFONSO PENA(PR, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);25;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4312;SBKP;VIRACOPOS(SP, BRASIL);SBCT;AFONSO PENA(PR, BRASIL);25;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4313;SBCT;AFONSO PENA(PR, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);30;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4314;SBKP;VIRACOPOS(SP, BRASIL);SBCT;AFONSO PENA(PR, BRASIL);20;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4315;SBCT;AFONSO PENA(PR, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);30;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4316;SBKP;VIRACOPOS(SP, BRASIL);SBUL;TEN CEL AVIADOR CÉSAR BOMBONATO(MG, BRASIL);6;0;16,67;16,67
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4317;SBCF;TANCREDO NEVES(MG, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);30;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4319;SBCF;TANCREDO NEVES(MG, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);25;0;4;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4320;SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);25;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4321;SBCF;TANCREDO NEVES(MG, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);9;0;11,11;11,11
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4322;SBKP;VIRACOPOS(SP, BRASIL);SBCF;TANCREDO NEVES(MG, BRASIL);30;0;3,33;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4323;SBCF;TANCREDO NEVES(MG, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);30;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4324;SBKP;VIRACOPOS(SP, BRASIL);SBGO;SANTA GENOVEVA/GOIÂNIA(GO, BRASIL);30;0;3,33;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4325;SBGO;SANTA GENOVEVA/GOIÂNIA(GO, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);30;0;3,33;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4326;SBKP;VIRACOPOS(SP, BRASIL);SBGO;SANTA GENOVEVA/GOIÂNIA(GO, BRASIL);28;0;3,57;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4327;SBGO;SANTA GENOVEVA/GOIÂNIA(GO, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);29;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4329;SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);30;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4331;SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);26;0;3,85;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4332;SBKP;VIRACOPOS(SP, BRASIL);SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);26;3,85;8;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4333;SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);30;0;3,33;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4335;SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);28;3,57;7,41;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4336;SBKP;VIRACOPOS(SP, BRASIL);SBCY;MARECHAL RONDON(MT, BRASIL);30;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4336;SBCY;MARECHAL RONDON(MT, BRASIL);SBPV;GOVERNADOR JORGE TEIXEIRA DE OLIVEIRA(RO, BRASIL);30;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4337;SBCY;MARECHAL RONDON(MT, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);25;0;4;4
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4338;SBKP;VIRACOPOS(SP, BRASIL);SBCY;MARECHAL RONDON(MT, BRASIL);24;0;4,17;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4339;SBPV;GOVERNADOR JORGE TEIXEIRA DE OLIVEIRA(RO, BRASIL);SBCY;MARECHAL RONDON(MT, BRASIL);30;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4339;SBCY;MARECHAL RONDON(MT, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);30;0;6,67;6,67
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4340;SBKP;VIRACOPOS(SP, BRASIL);SBCY;MARECHAL RONDON(MT, BRASIL);27;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4341;SBCY;MARECHAL RONDON(MT, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);27;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4345;SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SBFZ;PINTO MARTINS(CE, BRASIL);30;0;10;3,33
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4346;SBLO;GOVERNADOR JOSÉ RICHA(PR, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);25;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4347;SBKP;VIRACOPOS(SP, BRASIL);SBPA;SALGADO FILHO(RS, BRASIL);30;0;3,33;3,33
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4348;SBFZ;PINTO MARTINS(CE, BRASIL);SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);30;0;6,67;3,33
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4350;SBKP;VIRACOPOS(SP, BRASIL);SBRJ;SANTOS DUMONT(RJ, BRASIL);30;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4351;SBRJ;SANTOS DUMONT(RJ, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);4;0;0;0
