Aeroporto de Origem Designador OACI;Nome/UF/País Origem;Aeroporto de Destino Designador OACI;Nome/UF/País Destino;Etapas Previstas;% de Cancelamentos;% de Atrasos Superiores a 30 min;% de Atrasos Superiores a 60 min
SABE;JORGE NEWBERY AIRPORT(, ARGENTINA);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);5;60;50;50
SAEZ;MINISTRO PISTARINI INTERNATIONAL AIRPORT (EZEIZA INTERNATIONAL AIRPORT)(, ARGENTINA);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);38;60,53;26,67;13,33
SBAE;BAURU/AREALVA (SJTC*)(SP, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);26;0;3,85;0
SBAR;SANTA MARIA(SE, BRASIL);SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);17;0;0;0
SBAR;SANTA MARIA(SE, BRASIL);SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL);12;25;0;0
SBAR;SANTA MARIA(SE, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);40;2,5;7,69;2,56
SBAR;SANTA MARIA(SE, BRASIL);SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);99;0;5,05;2,02
SBAT;PILOTO OSVALDO MARQUES DIAS(MT, BRASIL);SBCY;MARECHAL RONDON(MT, BRASIL);12;0;0;0
SBAU;ESTADUAL DARIO GUARITA(SP, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);5;0;0;0
SBAU;ESTADUAL DARIO GUARITA(SP, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);26;0;7,69;7,69
