Aeroporto de Origem Designador OACI;Nome/UF/País Origem;Aeroporto de Destino Designador OACI;Nome/UF/País Destino;Etapas Previstas;% de Cancelamentos;% de Atrasos Superiores a 30 min;% de Atrasos Superiores a 60 min
SBIL;BAHIA - JORGE AMADO(BA, BRASIL);SBJD;AEROPORTO ESTADUAL DE JUNDIAÍ(SP, BRASIL);2;50;100;0
SBIL;BAHIA - JORGE AMADO(BA, BRASIL);SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);2;50;0;0
SBIL;BAHIA - JORGE AMADO(BA, BRASIL);SBSP;CONGONHAS(SP, BRASIL);16;0;0;0
SBIL;BAHIA - JORGE AMADO(BA, BRASIL);SBSV;DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL);13;7,69;8,33;0
SBIZ;PREFEITO RENATO MOREIRA(MA, BRASIL);SBBE;INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL);9;0;0;0
SBIZ;PREFEITO RENATO MOREIRA(MA, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);25;4;0;0
SBIZ;PREFEITO RENATO MOREIRA(MA, BRASIL);SBSL;MARECHAL CUNHA MACHADO(MA, BRASIL);13;0;0;0
SBJA;REGIONAL SUL(SC, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);13;0;0;0
SBJA;REGIONAL SUL(SC, BRASIL);SBSP;CONGONHAS(SP, BRASIL);12;0;0;0
SBJD;AEROPORTO ESTADUAL DE JUNDIAÍ(SP, BRASIL);SBGO;SANTA GENOVEVA/GOIÂNIA(GO, BRASIL);2;50;0;0
SBJD;AEROPORTO ESTADUAL DE JUNDIAÍ(SP, BRASIL);SBIL;BAHIA - JORGE AMADO(BA, BRASIL);2;50;0;0
SBJE;JERICOACORA(CE, BRASIL);SBCF;TANCREDO NEVES(MG, BRASIL);9;0;0;0
SBJP;PRESIDENTE CASTRO PINTO(PB, BRASIL);SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);23;0;0;0
SBJP;PRESIDENTE CASTRO PINTO(PB, BRASIL);SBCF;TANCREDO NEVES(MG, BRASIL);2;0;0;0
SBJP;PRESIDENTE CASTRO PINTO(PB, BRASIL);SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL);18;0;0;0
SBJP;PRESIDENTE CASTRO PINTO(PB, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);54;1,85;3,77;3,77
SBJP;PRESIDENTE CASTRO PINTO(PB, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);5;0;0;0
SBJP;PRESIDENTE CASTRO PINTO(PB, BRASIL);SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);99;2,02;4,12;2,06
SBJU;ORLANDO BEZERRA DE MENEZES(CE, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);23;0;0;0
SBJU;ORLANDO BEZERRA DE MENEZES(CE, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);27;0;0;0
SBJU;ORLANDO BEZERRA DE MENEZES(CE, BRASIL);SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);25;0;0;0
SBJV;LAURO CARNEIRO DE LOYOLA(SC, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);7;0;0;0
SBJV;LAURO CARNEIRO DE LOYOLA(SC, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);31;0;0;0
SBJV;LAURO CARNEIRO DE LOYOLA(SC, BRASIL);SBSP;CONGONHAS(SP, BRASIL);13;0;0;0
SBKG;PRESIDENTE JOÃO SUASSUNA(PB, BRASIL);SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);31;3,23;10;6,67
SBKP;VIRACOPOS(SP, BRASIL);KFLL;FORT LAUDERDALE-HOLLYWOOD INTERNATIONAL AIRPORT(, ESTADOS UNIDOS DA AMÉRICA);13;0;0;0
SBKP;VIRACOPOS(SP, BRASIL);KMEM;MEMPHIS INTERNATIONAL AIRPORT(, ESTADOS UNIDOS DA AMÉRICA);21;4,76;10;0
SBKP;VIRACOPOS(SP, BRASIL);LPPT;LISBOA(, PORTUGAL);7;0;28,57;0
SBKP;VIRACOPOS(SP, BRASIL);SBAE;BAURU/AREALVA (SJTC*)(SP, BRASIL);26;0;3,85;0
SBKP;VIRACOPOS(SP, BRASIL);SBAU;ESTADUAL DARIO GUARITA(SP, BRASIL);26;0;3,85;3,85
SBKP;VIRACOPOS(SP, BRASIL);SBBE;INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL);42;0;4,76;0
SBKP;VIRACOPOS(SP, BRASIL);SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);140;0,71;0,72;0,72
SBKP;VIRACOPOS(SP, BRASIL);SBCA;ADALBERTO MENDES DA SILVA(PR, BRASIL);31;0;0;0
SBKP;VIRACOPOS(SP, BRASIL);SBCF;TANCREDO NEVES(MG, BRASIL);160;0;1,88;0,63
SBKP;VIRACOPOS(SP, BRASIL);SBCG;CAMPO GRANDE(MS, BRASIL);56;0;0;0
SBKP;VIRACOPOS(SP, BRASIL);SBCH;SERAFIN ENOSS BERTASO(SC, BRASIL);29;0;6,9;0
SBKP;VIRACOPOS(SP, BRASIL);SBCN;NELSON RODRIGUES GUIMARÃES(GO, BRASIL);1;100;0;0
SBKP;VIRACOPOS(SP, BRASIL);SBCT;AFONSO PENA(PR, BRASIL);153;0;3,27;1,31
SBKP;VIRACOPOS(SP, BRASIL);SBCX;REGIONAL HUGO CANTERGIANI(RS, BRASIL);25;0;8;0
SBKP;VIRACOPOS(SP, BRASIL);SBCY;MARECHAL RONDON(MT, BRASIL);83;0;1,2;0
SBKP;VIRACOPOS(SP, BRASIL);SBDB;BONITO(MS, BRASIL);11;9,09;0;0
SBKP;VIRACOPOS(SP, BRASIL);SBDN;PRESIDENTE PRUDENTE(SP, BRASIL);56;0;0;0
SBKP;VIRACOPOS(SP, BRASIL);SBDO;DOURADOS(MS, BRASIL);25;0;8;4
SBKP;VIRACOPOS(SP, BRASIL);SBEG;EDUARDO GOMES(AM, BRASIL);63;0;6,35;0
SBKP;VIRACOPOS(SP, BRASIL);SBFI;CATARATAS(PR, BRASIL);30;0;3,33;3,33
SBKP;VIRACOPOS(SP, BRASIL);SBFL;HERCÍLIO LUZ(SC, BRASIL);112;0;5,36;2,68
SBKP;VIRACOPOS(SP, BRASIL);SBFZ;PINTO MARTINS(CE, BRASIL);32;0;3,13;0
SBKP;VIRACOPOS(SP, BRASIL);SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL);77;0;2,6;1,3
SBKP;VIRACOPOS(SP, BRASIL);SBGO;SANTA GENOVEVA/GOIÂNIA(GO, BRASIL);112;0;2,68;0
SBKP;VIRACOPOS(SP, BRASIL);SBJA;REGIONAL SUL(SC, BRASIL);13;0;0;0
SBKP;VIRACOPOS(SP, BRASIL);SBJP;PRESIDENTE CASTRO PINTO(PB, BRASIL);5;0;20;0
SBKP;VIRACOPOS(SP, BRASIL);SBJU;ORLANDO BEZERRA DE MENEZES(CE, BRASIL);28;0;0;0
SBKP;VIRACOPOS(SP, BRASIL);SBJV;LAURO CARNEIRO DE LOYOLA(SC, BRASIL);31;0;0;0
SBKP;VIRACOPOS(SP, BRASIL);SBLO;GOVERNADOR JOSÉ RICHA(PR, BRASIL);55;0;0;0
SBKP;VIRACOPOS(SP, BRASIL);SBMG;SÍLVIO NAME JÚNIOR(PR, BRASIL);55;0;3,64;1,82
SBKP;VIRACOPOS(SP, BRASIL);SBML;FRANK MILOYE MILENKOVICH(SP, BRASIL);28;0;0;0
SBKP;VIRACOPOS(SP, BRASIL);SBMO;ZUMBI DOS PALMARES(AL, BRASIL);31;0;3,23;0
SBKP;VIRACOPOS(SP, BRASIL);SBNF;MINISTRO VICTOR KONDER(SC, BRASIL);87;0;2,3;1,15
SBKP;VIRACOPOS(SP, BRASIL);SBPA;SALGADO FILHO(RS, BRASIL);134;0,75;3,01;1,5
SBKP;VIRACOPOS(SP, BRASIL);SBPJ;BRIGADEIRO LYSIAS RODRIGUES(TO, BRASIL);26;0;0;0
SBKP;VIRACOPOS(SP, BRASIL);SBPL;SENADOR NILO COELHO(PE, BRASIL);19;0;0;0
SBKP;VIRACOPOS(SP, BRASIL);SBPS;PORTO SEGURO(BA, BRASIL);34;0;2,94;0
SBKP;VIRACOPOS(SP, BRASIL);SBPV;GOVERNADOR JORGE TEIXEIRA DE OLIVEIRA(RO, BRASIL);27;0;3,7;0
SBKP;VIRACOPOS(SP, BRASIL);SBRD;RONDONÓPOLIS(MT, BRASIL);12;0;8,33;0
SBKP;VIRACOPOS(SP, BRASIL);SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);114;0,88;4,42;1,77
SBKP;VIRACOPOS(SP, BRASIL);SBRJ;SANTOS DUMONT(RJ, BRASIL);177;1,13;0;0
SBKP;VIRACOPOS(SP, BRASIL);SBRP;LEITE LOPES(SP, BRASIL);83;0;6,02;2,41
SBKP;VIRACOPOS(SP, BRASIL);SBSG;GOVERNADOR ALUIZIO ALVES(RN, BRASIL);13;0;0;0
SBKP;VIRACOPOS(SP, BRASIL);SBSR;PROFESSOR ERIBERTO MANOEL REINO(SP, BRASIL);85;0;3,53;1,18
SBKP;VIRACOPOS(SP, BRASIL);SBSV;DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL);110;2,73;0,93;0,93
SBKP;VIRACOPOS(SP, BRASIL);SBTE;SENADOR PETRÔNIO PORTELLA(PI, BRASIL);54;0;0;0
SBKP;VIRACOPOS(SP, BRASIL);SBTG;TRÊS LAGOAS(MS, BRASIL);13;0;7,69;0
SBKP;VIRACOPOS(SP, BRASIL);SBUL;TEN CEL AVIADOR CÉSAR BOMBONATO(MG, BRASIL);88;0;5,68;3,41
SBKP;VIRACOPOS(SP, BRASIL);SBVT;EURICO DE AGUIAR SALLES(ES, BRASIL);92;0;2,17;1,09
SBKP;VIRACOPOS(SP, BRASIL);SBZM;REGIONAL DA ZONA DA MATA(MG, BRASIL);20;0;5;5
SBKP;VIRACOPOS(SP, BRASIL);SWLC;GENERAL LEITE DE CASTRO(GO, BRASIL);10;0;0;0
SBKP;VIRACOPOS(SP, BRASIL);TJBQ;RAFAEL HERNÁNDEZ AIRPORT(, PORTO RICO);9;0;0;0
SBLO;GOVERNADOR JOSÉ RICHA(PR, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);32;0;0;0
SBLO;GOVERNADOR JOSÉ RICHA(PR, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);54;0;1,85;1,85
SBMA;JOÃO CORREA DA ROCHA(PA, BRASIL);SBBE;INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL);29;0;0;0
SBMA;JOÃO CORREA DA ROCHA(PA, BRASIL);SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);23;0;0;0
SBMD;MONTE DOURADO(PA, BRASIL);SBBE;INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL);9;11,11;0;0
SBMD;MONTE DOURADO(PA, BRASIL);SNYA;ALMEIRIM(PA, BRASIL);12;16,67;10;10
SBMG;SÍLVIO NAME JÚNIOR(PR, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);34;0;0;0
SBMG;SÍLVIO NAME JÚNIOR(PR, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);55;1,82;3,7;0
SBMK;MÁRIO RIBEIRO(MG, BRASIL);SBCF;TANCREDO NEVES(MG, BRASIL);50;2;0;0
SBMK;MÁRIO RIBEIRO(MG, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);1;0;0;0
SBML;FRANK MILOYE MILENKOVICH(SP, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);28;0;0;0
SBMO;ZUMBI DOS PALMARES(AL, BRASIL);SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);26;3,85;0;0
SBMO;ZUMBI DOS PALMARES(AL, BRASIL);SBCF;TANCREDO NEVES(MG, BRASIL);4;0;0;0
SBMO;ZUMBI DOS PALMARES(AL, BRASIL);SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL);16;25;0;0
SBMO;ZUMBI DOS PALMARES(AL, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);122;0;1,64;0
SBMO;ZUMBI DOS PALMARES(AL, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);31;0;0;0
SBMO;ZUMBI DOS PALMARES(AL, BRASIL);SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);122;3,28;0,85;0,85
SBMO;ZUMBI DOS PALMARES(AL, BRASIL);SBSV;DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL);16;18,75;0;0
SBMQ;ALBERTO ALCOLUMBRE(AP, BRASIL);SBBE;INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL);78;6,41;4,11;0
SBMQ;ALBERTO ALCOLUMBRE(AP, BRASIL);SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);13;0;0;0
SBMS;DIX-SEPT ROSADO(RN, BRASIL);SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);12;0;0;0
SBNF;MINISTRO VICTOR KONDER(SC, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);101;0;0;0
SBNF;MINISTRO VICTOR KONDER(SC, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);86;0;1,16;0
SBNF;MINISTRO VICTOR KONDER(SC, BRASIL);SBSP;CONGONHAS(SP, BRASIL);9;0;0;0
SBNM;SANTO ÂNGELO(RS, BRASIL);SBPA;SALGADO FILHO(RS, BRASIL);21;0;4,76;4,76
SBPA;SALGADO FILHO(RS, BRASIL);MPTO;TOCUMEN INTL(, PANAMÁ);15;20;0;0
SBPA;SALGADO FILHO(RS, BRASIL);SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);41;4,88;0;0
SBPA;SALGADO FILHO(RS, BRASIL);SBCF;TANCREDO NEVES(MG, BRASIL);1;0;0;0
SBPA;SALGADO FILHO(RS, BRASIL);SBCT;AFONSO PENA(PR, BRASIL);10;0;0;0
SBPA;SALGADO FILHO(RS, BRASIL);SBFI;CATARATAS(PR, BRASIL);1;0;0;0
SBPA;SALGADO FILHO(RS, BRASIL);SBFL;HERCÍLIO LUZ(SC, BRASIL);1;0;0;0
SBPA;SALGADO FILHO(RS, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);243;0,41;1,65;1,65
SBPA;SALGADO FILHO(RS, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);134;0,75;1,5;0,75
SBPA;SALGADO FILHO(RS, BRASIL);SBNM;SANTO ÂNGELO(RS, BRASIL);1;0;0;0
SBPA;SALGADO FILHO(RS, BRASIL);SBPK;PELOTAS(RS, BRASIL);23;0;4,35;0
SBPA;SALGADO FILHO(RS, BRASIL);SBRJ;SANTOS DUMONT(RJ, BRASIL);49;0;2,04;2,04
SBPA;SALGADO FILHO(RS, BRASIL);SBSP;CONGONHAS(SP, BRASIL);93;9,68;1,19;1,19
SBPA;SALGADO FILHO(RS, BRASIL);SBUG;RUBEM BERTA(RS, BRASIL);21;0;4,76;4,76
SBPB;AEROPORTO INTERNACIONAL DE PARNAÍBA / PREFEITO DOUTOR JOÃO SILVA FILHO(PI, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);4;0;0;0
SBPJ;BRIGADEIRO LYSIAS RODRIGUES(TO, BRASIL);SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);20;5;0;0
SBPJ;BRIGADEIRO LYSIAS RODRIGUES(TO, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);27;0;0;0
SBPJ;BRIGADEIRO LYSIAS RODRIGUES(TO, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);26;0;0;0
SBPK;PELOTAS(RS, BRASIL);SBSM;SANTA MARIA(RS, BRASIL);23;0;0;0
SBPL;SENADOR NILO COELHO(PE, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);19;0;0;0
SBPL;SENADOR NILO COELHO(PE, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);18;0;0;0
SBPL;SENADOR NILO COELHO(PE, BRASIL);SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);28;0;0;0
SBPS;PORTO SEGURO(BA, BRASIL);SBCF;TANCREDO NEVES(MG, BRASIL);35;0;0;0
SBPS;PORTO SEGURO(BA, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);91;2,2;0;0
SBPS;PORTO SEGURO(BA, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);34;0;2,94;0
SBPS;PORTO SEGURO(BA, BRASIL);SBRJ;SANTOS DUMONT(RJ, BRASIL);4;0;0;0
SBPS;PORTO SEGURO(BA, BRASIL);SBSP;CONGONHAS(SP, BRASIL);9;0;0;0
SBPS;PORTO SEGURO(BA, BRASIL);SBSV;DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL);68;4,41;4,62;3,08
SBPV;GOVERNADOR JORGE TEIXEIRA DE OLIVEIRA(RO, BRASIL);SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);14;0;0;0
SBPV;GOVERNADOR JORGE TEIXEIRA DE OLIVEIRA(RO, BRASIL);SBCY;MARECHAL RONDON(MT, BRASIL);30;0;0;0
SBPV;GOVERNADOR JORGE TEIXEIRA DE OLIVEIRA(RO, BRASIL);SBEG;EDUARDO GOMES(AM, BRASIL);26;0;0;0
SBPV;GOVERNADOR JORGE TEIXEIRA DE OLIVEIRA(RO, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);21;0;0;0
SBPV;GOVERNADOR JORGE TEIXEIRA DE OLIVEIRA(RO, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);27;0;14,81;3,7
SBRB;PLÁCIDO DE CASTRO(AC, BRASIL);SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);17;0;0;0
SBRB;PLÁCIDO DE CASTRO(AC, BRASIL);SBCZ;CRUZEIRO DO SUL(AC, BRASIL);17;0;0;0
SBRB;PLÁCIDO DE CASTRO(AC, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);27;0;0;0
SBRD;RONDONÓPOLIS(MT, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);11;0;0;0
SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);LPPT;LISBOA(, PORTUGAL);9;33,33;0;0
SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SBAR;SANTA MARIA(SE, BRASIL);99;0;3,03;1,01
SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SBBE;INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL);57;0;5,26;0
SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);80;2,5;0;0
SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SBCF;TANCREDO NEVES(MG, BRASIL);110;5,45;0;0
SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SBFN;FERNANDO DE NORONHA(PE, BRASIL);63;1,59;3,23;0
SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SBFZ;PINTO MARTINS(CE, BRASIL);127;0;4,72;0,79
SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL);21;4,76;0;0
SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);296;2,36;1,73;0,69
SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SBIL;BAHIA - JORGE AMADO(BA, BRASIL);2;50;0;0
SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SBJP;PRESIDENTE CASTRO PINTO(PB, BRASIL);99;1,01;7,14;4,08
SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SBJU;ORLANDO BEZERRA DE MENEZES(CE, BRASIL);25;0;0;0
SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SBKG;PRESIDENTE JOÃO SUASSUNA(PB, BRASIL);30;0;3,33;3,33
SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);114;0,88;3,54;0
SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SBMO;ZUMBI DOS PALMARES(AL, BRASIL);122;1,64;3,33;0,83
SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SBMS;DIX-SEPT ROSADO(RN, BRASIL);12;0;0;0
SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SBPL;SENADOR NILO COELHO(PE, BRASIL);28;0;0;0
SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SBRJ;SANTOS DUMONT(RJ, BRASIL);90;0;1,11;1,11
SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SBSG;GOVERNADOR ALUIZIO ALVES(RN, BRASIL);123;0;3,25;1,63
SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SBSL;MARECHAL CUNHA MACHADO(MA, BRASIL);25;0;0;0
SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SBSP;CONGONHAS(SP, BRASIL);108;0,93;0;0
SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SBSV;DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL);89;3,37;3,49;1,16
SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SBTE;SENADOR PETRÔNIO PORTELLA(PI, BRASIL);29;0;3,45;0
SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SNHS;SANTA MAGALHÃES(PE, BRASIL);26;0;7,69;3,85
SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SNRU;OSCAR LARANJEIRAS(PE, BRASIL);21;0;0;0
SBRJ;SANTOS DUMONT(RJ, BRASIL);SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);167;0;0,6;0
SBRJ;SANTOS DUMONT(RJ, BRASIL);SBCF;TANCREDO NEVES(MG, BRASIL);152;3,95;2,05;0,68
SBRJ;SANTOS DUMONT(RJ, BRASIL);SBCT;AFONSO PENA(PR, BRASIL);50;2;4,08;0
SBRJ;SANTOS DUMONT(RJ, BRASIL);SBFL;HERCÍLIO LUZ(SC, BRASIL);14;0;0;0
SBRJ;SANTOS DUMONT(RJ, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);189;1,59;0,54;0
SBRJ;SANTOS DUMONT(RJ, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);178;1,12;2,27;0,57
SBRJ;SANTOS DUMONT(RJ, BRASIL);SBPA;SALGADO FILHO(RS, BRASIL);49;2,04;4,17;2,08
SBRJ;SANTOS DUMONT(RJ, BRASIL);SBPS;PORTO SEGURO(BA, BRASIL);4;0;0;0
SBRJ;SANTOS DUMONT(RJ, BRASIL);SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);90;0;1,11;1,11
SBRJ;SANTOS DUMONT(RJ, BRASIL);SBRP;LEITE LOPES(SP, BRASIL);18;0;5,56;5,56
SBRJ;SANTOS DUMONT(RJ, BRASIL);SBSP;CONGONHAS(SP, BRASIL);365;6,3;0,88;0
SBRJ;SANTOS DUMONT(RJ, BRASIL);SBSV;DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL);38;2,63;0;0
SBRJ;SANTOS DUMONT(RJ, BRASIL);SBVT;EURICO DE AGUIAR SALLES(ES, BRASIL);37;0;0;0
SBRP;LEITE LOPES(SP, BRASIL);SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);1;0;0;0
SBRP;LEITE LOPES(SP, BRASIL);SBGO;SANTA GENOVEVA/GOIÂNIA(GO, BRASIL);14;0;7,14;0
SBRP;LEITE LOPES(SP, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);1;0;0;0
SBRP;LEITE LOPES(SP, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);82;1,22;0;0
SBRP;LEITE LOPES(SP, BRASIL);SBRJ;SANTOS DUMONT(RJ, BRASIL);18;0;11,11;5,56
SBRP;LEITE LOPES(SP, BRASIL);SBSP;CONGONHAS(SP, BRASIL);47;2,13;4,35;4,35
SBSG;GOVERNADOR ALUIZIO ALVES(RN, BRASIL);SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);27;0;0;0
SBSG;GOVERNADOR ALUIZIO ALVES(RN, BRASIL);SBCF;TANCREDO NEVES(MG, BRASIL);3;0;0;0
SBSG;GOVERNADOR ALUIZIO ALVES(RN, BRASIL);SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL);13;7,69;0;0
SBSG;GOVERNADOR ALUIZIO ALVES(RN, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);121;0;0,83;0
SBSG;GOVERNADOR ALUIZIO ALVES(RN, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);13;0;0;0
SBSG;GOVERNADOR ALUIZIO ALVES(RN, BRASIL);SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);123;0;2,44;0,81
SBSI;PRESIDENTE JOÃO BATISTA FIGUEIREDO(MT, BRASIL);SBCY;MARECHAL RONDON(MT, BRASIL);22;4,55;0;0
SBSL;MARECHAL CUNHA MACHADO(MA, BRASIL);SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);41;0;4,88;2,44
SBSL;MARECHAL CUNHA MACHADO(MA, BRASIL);SBCF;TANCREDO NEVES(MG, BRASIL);42;0;4,76;2,38
SBSL;MARECHAL CUNHA MACHADO(MA, BRASIL);SBFZ;PINTO MARTINS(CE, BRASIL);16;0;0;0
SBSL;MARECHAL CUNHA MACHADO(MA, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);21;0;0;0
SBSL;MARECHAL CUNHA MACHADO(MA, BRASIL);SBIZ;PREFEITO RENATO MOREIRA(MA, BRASIL);12;0;0;0
